,Category,Fund Family,Net Assets,YTD Return,Yield,Morningstar Rating,Inception Date,Last Dividend,Last Cap Gain,Holdings Turnover,Average for Category,Expense,Annual Report Expense Ratio (net),Prospectus Net Expense Ratio,Prospectus Gross Expense Ratio,Max 12b1 Fee,Max Front End Sales Load,Max Deferred Sales Load,3 Yr Expense Projection,5 Yr Expense Projection,10 Yr Expense Projection,TRHistoryAvailable
128,Mid-Cap Growth,Allianz Funds,310.2M,32.46%,0.00%,★★★,"Feb 4, 2002",0.00,0.00,60.00%,N/A,RMDAX,1.14%,1.14%,1.14%,0.25%,5.50%,N/A,892,"1,143","1,860",True
129,Mid-Cap Growth,Virtus,417.73M,20.39%,0.00%,★★★,"Jun 21, 2009",0.00,0.00,N/A,N/A,VMCCX,1.95%,1.95%,2.14%,1.00%,N/A,1.00%,652,"1,132","2,457",True
130,Mid-Cap Growth,Tributary Funds,143.19M,22.46%,0.00%,★★★,"Mar 31, 1998",0.00,0.00,N/A,N/A,FOGRX,1.11%,1.11%,1.34%,N/A,N/A,N/A,402,712,"1,593",True
131,Mid-Cap Growth,Baron Capital Group,6.92B,30.65%,0.00%,★★★★,"Dec 29, 1994",0.00,0.00,2.92%,N/A,BGRFX,1.29%,1.29%,1.29%,0.25%,N/A,N/A,409,708,"1,556",True
132,Mid-Cap Growth,Hartford Mutual Funds,13.97B,25.02%,0.00%,★★★,"May 28, 2009",0.00,0.00,37.00%,N/A,HFMSX,1.16%,1.16%,1.16%,0.25%,N/A,N/A,368,638,"1,409",True
133,Mid-Cap Growth,Hartford Mutual Funds,13.97B,24.81%,0.00%,★★★,"May 28, 2009",0.00,0.00,37.00%,N/A,HFMRX,1.47%,1.47%,1.47%,0.50%,N/A,N/A,465,803,"1,757",True
134,Mid-Cap Growth,Guggenheim Investments,86.76M,23.50%,1.08%,★★★,"Feb 29, 2012",0.52,0.00,52.00%,N/A,GIUIX,1.26%,1.26%,1.29%,N/A,N/A,N/A,406,705,"1,554",True
135,Mid-Cap Growth,Champlain Funds,3.47B,16.33%,0.00%,★★★★,"Jan 2, 2011",0.00,0.00,33.00%,N/A,CIPIX,0.90%,0.90%,0.90%,N/A,N/A,N/A,287,498,"1,108",True
136,Mid-Cap Growth,Kinetics,745.16M,21.01%,0.00%,★★,"May 26, 2005",0.00,0.00,3.00%,N/A,KNPYX,1.44%,1.44%,1.68%,N/A,N/A,N/A,506,890,"1,967",True
137,Mid-Cap Growth,Marsico Investment Fund,284.62M,26.84%,0.00%,★★★★,"Jan 31, 2000",0.00,0.00,90.00%,N/A,MXXIX,1.42%,1.42%,1.42%,0.25%,N/A,N/A,449,776,"1,702",True
